EnsembleID,logFC,logCPM,PValue,FDR,description,external_gene_name
ENSMUSG00000000085,-0.517098261,5.077189037,0.000921513,0.013475949,sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762],Scmh1
ENSMUSG00000000142,3.163834082,-0.373208103,6.53E-08,5.58E-06,axin2 [Source:MGI Symbol;Acc:MGI:1270862],Axin2
ENSMUSG00000000275,0.76032031,6.626927229,1.00E-05,0.00034474,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749],Trim25
ENSMUSG00000000486,0.528756286,5.399726946,0.001804609,0.023120858,septin 1 [Source:MGI Symbol;Acc:MGI:1858916],sept1
