before_beer,after_beer
6,24
6,29
10,13
12,21
12,25
16,25
21,18
22,15
23,28
25,44
25,33
25,17
26,24
27,36
27,40
27,43
30,38
30,28
32,43
32,31
33,46
35,50
35,40
39,46
39,50
