species,mass,beaklength
cutthroat finch,15,8.5
cutthroat finch,17,8.7
cutthroat finch,15,7.4
cutthroat finch,16,8.0
cutthroat finch,15,7.7
sparrow weaver,40,10.6
sparrow weaver,43,10.8
sparrow weaver,37,10.9
sparrow weaver,38,11.3
sparrow weaver,43,10.9
waxbill,6,6.9
waxbill,7,7.9
waxbill,7,6.7
waxbill,7,7.0
waxbill,8,7.3
