Transcript,Rep1,Rep2,Rep3
HEN3,834,190,206
CLF,1671,1288,404
AP2,1512,3142,3018
DND1,1296,2903,2761
AGO1,1590,63189,144704
ABL1,2901,3639,13308
HUA1,1446,18054,13346
RDR1,543,173,825
CYC2,669,144,59
AG,1047,1922,2084
CYC3,11037,451,2678
CYC1,2329,1316,2070
