Gene,Bcon1019-0.0_TPS-bc3,Bcon1019-0.2_TPS-bc3,Bcon1029-0.2_Geranylgeranyl pyrophosphate synthase family protein,Bcon1055-2.10_TPS-bc3,Bcon1055-3.1_TPS-bc3,Bcon1055-3.14_TPS-bc3,Bcon1055-3.3_TPS-bc3,Bcon1055-5.2_TPS-bc3,Bcon1065-0.18_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon109-3.8_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon1134-0.11_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon1142-0.71_Geranylgeranyl pyrophosphate synthase family protein,Bcon1143-0.27_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon1143-0.29_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon1159-0.0_TPS-bc3,Bcon1159-0.0_TPS-bc3,Bcon1166-0.16_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon1176-4.39_TPS-bc1,Bcon1178-0.18_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon1178-0.19_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon1195-2.10_1-deoxy-D-xylulose-5-phosphate synthase,Bcon120-2.10_TPS-c,Bcon121-2.8_Geranylgeranyl pyrophosphate synthase,Bcon1261-4.10_Geranylgeranyl diphosphate synthase,Bcon1294-0.40_4-diphosphocytidyl-2-C-methyl-D-erythritol ki0se,Bcon1308-3.8_Geranylgeranyl diphosphate synthase,Bcon1562-0.19_TPS-g,Bcon1562-0.20_TPS-g,Bcon1571-9.28_1-deoxy-D-xylulose 5-phosphate synthase,Bcon1629-3.8_TPS-bc1,Bcon1630-4.18_Mevalo0te ki0se,Bcon1668-3.7_TPS-bc3,Bcon1719-0.2_TPS-bc3,Bcon1719-0.3_TPS-bc3,Bcon1719-0.8_TPS-bc3,Bcon1719-1.11_TPS-bc3,Bcon1719-2.72_Geranylgeranyl pyrophosphate synthase,Bcon1762-5.7_3-ketoacyl-CoA thiolase,Bcon1769-0.23_TPS-bc3,Bcon1769-0.24_TPS-bc3,Bcon1769-0.27_TPS-bc3,Bcon1769-0.8_TPS-bc3,Bcon1824-1.16_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon1824-1.17_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon1968-1.40_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon2045-0.18_Hydroxymethylglutaryl-CoA synthase,Bcon2052-0.0_TPS-bc3,Bcon218-4.12_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon2299-1.0_TPS-c,Bcon242-1.59_TPS-bc2,Bcon2548-0.0_TPS-bc1,Bcon2786-0.10_TPS-bc2,Bcon2786-0.11_TPS-bc2,Bcon2786-0.9_TPS-bc2,Bcon281-6.30_Thiolase family protein,Bcon283-1.14_4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Bcon2846-0.8_3-ketoacyl-CoA thiolase,Bcon2861-0.4_TPS-bc3,Bcon2861-0.7_TPS-bc3,Bcon2935-0.13_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon2935-0.17_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon346-2.2_1-deoxy-D-xylulose 5-phosphate synthase 1,Bcon3493-0.7_Farnesyl diphosphate synthase,Bcon3625-1.34_TPS-bc1,Bcon380-0.2_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon3916-0.3_isopentenyl diphosphate isomerase,Bcon486-1.23_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon639-0.10_TPS-bc3,Bcon639-0.11_TPS-bc3,Bcon639-0.14_TPS-bc3,Bcon639-0.15_TPS-bc3,Bcon639-0.54_TPS-bc3,Bcon64-0.14_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon64-0.15_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon64-0.18_isopentenyl diphosphate isomerase,Bcon655-0.2_TPS-bc3,Bcon743-1.3_Thiolase family protein,Bcon769-1.14_TPS-bc3,Bcon769-1.15_TPS-bc3,Bcon769-1.16_TPS-bc3,Bcon769-1.17_TPS-bc3,Bcon769-1.19_Geranylgeranyl pyrophosphate synthase,Bcon769-1.20_TPS-bc3,Bcon769-1.23_TPS-bc3,Bcon840-0.39_Diphosphomevalo0te decarboxylase,Bcon841-3.0_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon878-1.30_Farnesyl diphosphate synthase,Bcon891-1.0_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon891-1.10_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon891-2.17_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon891-2.47_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon960-0.0_isopentenyl diphosphate isomerase,Bcon983-0.7_TPS-bc2,Bcon983-1.18_TPS-bc2,Bcon983-1.31_TPS-bc2,Bcon983-1.38_TPS-bc2,Bcon983-1.6_TPS-bc2,Bcon983-1.7_TPS-bc2,Bcon995-0.5_TPS-bc3,Bcon995-0.6_TPS-bc3,Bcon995-0.7_TPS-bc3,Bcon1049-2.11_Geranyl diphosphate synthase
Petiole.B.conchifolia.rep2,0,0,11.44446,0.087226,0,0,0,0,0,141.549985,0,0,11.710402,12.739042,79.636608,79.636608,0,0,0,25.508096,0.117617,0,0,0,14.586543,0,0,0,62.170261,0,40.597533,0,0,11.160068,0,0.087226,0,0,0.562123,0,0,0,0,0,0,74.744078,0,14.402733,1.497554,6.295756,0,4.356165,2.306639,2.072472,0,64.573688,65.273251,114.578991,0.705496,26.493519,3.343935,14.99432,0,84.096846,0.35157,0,5.794342,0,0,0,0,0,2.75269,2.647944,2.027268,0,66.97448,0,9.945489,0,1.336956,0,0,0.33286,39.057722,0,0,0,0,0,0,0,0,1.010941,0,0,4.78209,0.891626,5.485284,0,2.260285,0
Petiole.B.conchifolia.rep3,0,0,9.308181,0,0,0,0,0,0,453.992669,0,0,9.905292,1.281683,80.618088,80.618088,0,0,0,24.193482,6.081206,0,0,0,14.861557,0,0,0,86.081175,0,44.515,0,0,14.420096,0,0,0,0,0,0,0,0,0,0,0,195.935123,0,12.066864,4.962736,3.323668,0,1.3411,0,0,0,69.812029,98.564956,42.833093,0,8.785504,8.415608,17.773291,0,69.188938,0,0,6.947624,0,0,0,0,0,1.200792,3.49442,1.531129,0,57.290474,0,8.768376,0,3.030511,0,0,0,40.698157,0,0,0.89331,0,0,0,0,0,0.874962,0,0,3.63717,0.294965,0.511827,0,0,0
Root.B.conchifolia.rep1,0,0,5.340693,0,0,0,0,0.452862,0,138.463771,0,0,3.84493,22.557091,0.439588,0.439588,0,0.163542,0,21.760205,1.366107,0,0,0,11.717474,0,0,0,18.99772,0,52.95462,0,0,0,0,0,0,0,25.789515,0,9.772592,0,0,0,0,155.36057,0.748381,12.343224,0.557241,1.316572,0,0,0,0,0,19.877969,199.06507,0.312984,0,23.955512,13.253258,9.142791,0,72.303834,1.780006,0,10.217443,16.608948,0,0,0,0,3.909646,8.976725,3.839346,1.060918,36.619216,5.862815,10.600969,0.216517,15.220371,0,0.577234,0.741187,48.355044,0,0,2.348485,0,0,0,0,0,0.113797,0,0,0,0,0.250756,0,0.989441,0
Root.B.conchifolia.rep2,1.637539,0.823949,5.487596,0,0,0,0,4.194889,0,81.679315,0,0,11.012101,8.021028,0,0,0,0.175512,0,25.387884,0.451635,0,0,0,16.508774,0,0,0,19.971708,0,49.638817,0,0,0,0,0,0,0,412.902761,1.387904,0,0,0,0,0,54.56103,0,11.408167,0.35919,2.544667,0,0,0,0,0,17.388504,153.042606,0.167969,0,36.818328,9.111932,7.702128,0,62.542816,0,0,6.610931,205.122377,0,128.232524,2.146512,0,4.143538,8.178559,5.209412,4.932457,49.141631,4.955843,11.446277,4.410194,7.317324,0,1.084509,0.954812,43.160728,0,0,2.49892,0,0.794171,0,0,0,0.445132,0,0,0.474805,0,1.635714,0,0,0
Root.B.conchifolia.rep3,1.674335,0.421582,8.72641,0,0,0,0,1.076566,0,103.983256,0,0,15.4044,16.269693,0.633584,0.633584,0,0.352284,0,25.356666,0.826859,0,0,0,11.531542,0,0,0,24.677386,0,51.635611,0,0,0,0,0,0,0,56.73069,0,6.837014,0,0,0,0,75.403017,0,11.037324,0.558274,3.69671,0,0,0,0,0,20.828227,180.853607,0.198531,0.108266,42.214505,11.643618,8.874517,2.791104,73.640729,2.022195,0,12.165959,31.884467,0,6.837014,0.770561,0,6.740469,10.968517,7.210776,3.303838,52.136063,6.888459,12.66871,4.992021,8.916271,0,0.763154,1.347938,44.782475,0,0,1.299862,0,2.16775,0,0,0,0,0,0,0.164904,0.142366,34.842821,0.39455,5.255392,0
Veg.bud.B.conchifolia.rep1,0,0,5.012821,0,0,0,0,0,0,168.778925,0,0,6.564535,7.135648,1.062063,1.062063,0,0,0,27.133588,1.511231,0,0,0,17.322113,0,0,0,64.30619,0,46.412927,0,0,0,0,0,0,0,10.564534,0,2.53663,0,0,0,0,168.20365,0,1.199141,0.623562,1.345305,0,1.084006,1.636683,0.285269,0,35.3296,138.188998,18.349645,0,8.025452,7.398819,11.265601,0,65.155328,1.08748,0,5.219147,3.95966,0,0,0,0,0,0,0,0,43.77369,0,4.824576,0,0.672162,0,0,0,28.319754,0,0,1.454582,0,0,0,0,0,0,0,0,0.178653,1.778478,0.646882,0,0,0
Veg.bud.B.conchifolia.rep2,0,0,3.987676,0.071049,0,0,0,0,0,169.062688,0,0,3.437476,5.544257,2.035482,2.035482,0,0.274628,0,21.905155,2.551564,0,0,0,12.376416,0,0,0,73.332439,0,38.560911,0,0,0.510296,0,0.071049,0,0,25.643333,0,3.720905,0,0,0,0,171.538361,0,3.761254,0.653387,0.777989,0,0.756605,0,0.297182,0,27.470626,119.604743,26.825154,0,12.264205,5.997479,8.611835,0,59.875094,0.964328,0,5.467413,16.441729,0,3.720905,1.796557,0,0,0,0,0.148557,40.100595,0,6.539427,0,0.77067,0,0.121053,0,30.713436,0,0,0,0,0,0,0,0,0,0,0,0.746828,4.29794,0.365039,0,1.045185,0
Veg.bud.B.conchifolia.rep3,0,0,2.785489,0,0,0,0,0,0,169.190585,0,0,3.713778,7.731724,2.554231,2.554231,0,0.135506,0,18.589924,2.694093,0,0,0,13.900807,0,0,0,61.899608,0,40.355359,0,0,0.376225,0,0,0,0,24.356336,0.159012,8.190032,0,0,0,0,147.969668,0,3.885452,0.372022,1.308775,0,1.369129,0,0,0,26.862791,129.715759,36.830588,0,15.728887,9.249464,7.686286,3.199919,51.611117,0.259775,0,3.76901,13.558628,0,0,0.876764,0,0,0,0,0,32.701232,0,3.541193,0,1.074441,0,0.119495,0.122764,26.779383,0,0,0,0,0,0,0,0,0.220972,0,0,0.183869,7.142096,1.388058,0,0,0
Female.flower.B.plebeja.rep1,0.679574,6.92945,14.594004,0,0,0.197105,0,2.078053,0,89.591986,0,0,18.416684,31.163389,4.577723,4.577723,0,4.027128,0,57.810873,2.027607,0,0,0,13.280418,0,0,0,150.349223,0,44.718468,0,0,1.789221,0,1.749532,0,0,4.379339,0,5.83806,0,0,0,0,36.168214,0,12.344814,0.81853,0.359942,0,960.635647,17.323572,22.223983,0,75.317408,126.482814,0.955701,0.760374,32.727407,4.898244,6.81869,0,67.476405,0,0,10.043422,1.232731,5.502746,0,1.535956,0,3.969318,5.046926,2.538134,3.259232,63.035547,0.645477,2.166483,0.980719,2.96232,0,1.204359,4.657691,77.09815,0,2.44257,0.508239,0,0.66063,0,0,0,0.244391,0,0,0,0.179647,1.884215,0,2.849751,0
Female.flower.B.plebeja.rep2,0,1.763743,9.072661,0,0,0,0,0,0,257.344465,0,0,11.250488,11.342909,1.569163,1.569163,0,2.543898,0,45.459453,3.414801,0,0,0,13.770655,0,0,0,103.522087,0,43.610793,0,0,0,0,0,0,0,1.186979,0,1.189354,0,0,0,0,71.328865,0,13.176651,6.702348,0.169796,0,99.660768,19.657251,22.067031,0,66.64961,131.649788,0.74966,0.36038,28.413553,5.888509,9.1091,0,65.40159,0,0,10.056588,1.093366,0,0,0,0,1.76299,2.738657,2.731226,0.632947,57.971211,1.496107,0,0,0.691197,0,1.013401,8.865081,59.721122,0,4.359385,0,0,0,0,0,0,0.480561,0,0,0.263478,0.707793,0,0.407629,0.90806,0
