kew_id,taxon_name,taxon_name_binom,authors,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,from_BI_material,data_source,ID
781250-1,Acer campestre L.,Acer campestre,L.,1.62,0.81,1584.36,792.18,y,Kew,1
781462-1,Acer pseudoplatanus L.,Acer pseudoplatanus,L.,3.18,1.59,3110.04,1555.02,y,Kew,1
2336-2,Achillea ptarmica L.,Achillea ptarmica,L.,7.34,3.67,7178.52,3589.26,y,Kew,1
325030-2,Adiantum capillus-veneris L.,Adiantum capillus-veneris,L.,11.81,5.91,11552.89,5776.45,y,Kew,1
781594-1,Aesculus hippocastanum L.,Aesculus hippocastanum,L.,1.27,0.64,1242.06,625.92,y,Kew,1
150316-1,Agrostemma githago L.,Agrostemma githago,L.,4.6,2.3,4498.8,2249.4,y,Kew,1
30197865-2,Agrostis capillaris L.,Agrostis capillaris,L.,6.46,3.23,6317.88,3158.94,y,Kew,1
30197865-2,Agrostis capillaris L.,Agrostis capillaris,L.,6.46,3.23,6317.88,3158.94,y,Kew,1
386353-1,Agrostis stolonifera L.,Agrostis stolonifera,L.,6.62,3.31,6474.36,3237.18,y,Kew,1
813521-1,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,2.4,1.2,2344.27,1172.13,y,Kew,1
77120351-1,Alchemilla acutiloba Opiz,Alchemilla acutiloba,Opiz,3.87,1.94,3786.19,1893.1,y,Kew,1
720359-1,Alchemilla alpina L.,Alchemilla alpina,L.,3.68,1.84,3599.04,1799.52,y,Kew,1
30019518-2,Alisma plantago-aquatica L.,Alisma plantago-aquatica,L.,21.63,10.81,21154.14,10572.18,y,Kew,1
1176324-2,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,(M.Bieb.) Cavara & Grande,2.41,1.2,2356.98,1173.6,y,Kew,1
528823-1,Allium schoenoprasum L.,Allium schoenoprasum,L.,15.88,7.94,15530.64,7765.32,y,Kew,1
528894-1,Allium sphaerocephalon L.,Allium sphaerocephalon,L.,30.75,15.38,30075.84,15037.92,y,Kew,1
529047-1,Allium triquetrum L.,Allium triquetrum,L.,37.93,18.96,37095.54,18542.88,y,Kew,1
529088-1,Allium ursinum L.,Allium ursinum,L.,63.78,31.89,62376.84,31188.42,y,Kew,1
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,1.14,0.57,1115.24,557.62,y,Kew,1
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,1.08,0.54,1056.24,528.12,y,Kew,1
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,1.34,0.67,1314.6,657.3,y,Kew,1
615773-1,Anacamptis pyramidalis (L.) Rich.,Anacamptis pyramidalis,(L.) Rich.,25.33,12.66,24772.74,12381.48,y,Kew,1
30021967-2,Andromeda polifolia L.,Andromeda polifolia,L.,2.28,1.14,2229.84,1114.92,y,Kew,1
837560-1,Angelica archangelica L.,Angelica archangelica,L.,6.64,3.32,6493.92,3246.96,y,Kew,1
837777-1,Angelica sylvestris L.,Angelica sylvestris,L.,5.53,2.76,5408.34,2699.28,y,Kew,1
177259-1,Anthemis cotula L.,Anthemis cotula,L.,7.45,3.72,7284.73,3642.36,y,Kew,1
389034-1,Anthoxanthum odoratum L.,Anthoxanthum odoratum,L.,13.17,6.59,12880.26,6445.02,y,Kew,1
389034-1,Anthoxanthum odoratum L.,Anthoxanthum odoratum,L.,13.01,6.51,12723.78,6366.78,y,Kew,1
721514-1,Aphanes arvensis L.,Aphanes arvensis,L.,0.83,0.42,811.74,410.76,y,Kew,1
60445154-2,Aponogeton distachyos L.,Aponogeton distachyos,L.,10.59,5.3,10359.55,5179.77,y,Kew,1
277970-1,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,(L.) Heynh.,0.36,0.18,350.99,175.49,y,Kew,1
178406-1,Arctium minus (Hill) Bernh.,Arctium minus,(Hill) Bernh.,4.23,2.11,4132.83,2066.41,y,Kew,1
303826-2,Arenaria serpyllifolia L.,Arenaria serpyllifolia,L.,0.82,0.41,797.46,398.73,y,Kew,1
19793-2,Armeria maritima (Mill.) Willd.,Armeria maritima,(Mill.) Willd.,9.42,4.71,9216.89,4608.45,y,Kew,1
19793-2,Armeria maritima (Mill.) Willd.,Armeria maritima,(Mill.) Willd.,9.25,4.62,9043.06,4521.53,y,Kew,1
300106-2,Artemisia absinthium L.,Artemisia absinthium,L.,4.04,2.02,3951.12,1975.56,y,Kew,1
86067-1,Arum maculatum L.,Arum maculatum,L.,20.42,10.21,19970.76,9985.38,y,Kew,1
311563-2,Asplenium ruta-muraria L.,Asplenium ruta-muraria,L.,13.07,6.54,12782.46,6396.12,y,Kew,1
30216020-2,Asplenium scolopendrium L.,Asplenium scolopendrium,L.,17.39,8.69,17003.42,8501.71,y,Kew,1
17053570-1,Asplenium viride Huds.,Asplenium viride,Huds.,9.24,4.62,9036.72,4518.36,y,Kew,1
24418-2,Astragalus alpinus L.,Astragalus alpinus,L.,3.98,1.99,3895.46,1947.73,y,Kew,1
477635-1,Astragalus glycyphyllos L.,Astragalus glycyphyllos,L.,1.73,0.87,1691.94,850.86,y,Kew,1
30045965-2,Athyrium distentifolium Tausch ex Opiz,Athyrium distentifolium,Tausch ex Opiz,15.82,7.91,15468.53,7734.26,y,Kew,1
30055316-2,Athyrium filix-femina (L.) Roth,Athyrium filix-femina,(L.) Roth,14.76,7.38,14435.28,7217.64,y,Kew,1
164046-1,Atriplex pedunculata L.,Atriplex pedunculata,L.,1.34,0.67,1307.89,653.94,y,Kew,1
814358-1,Atropa belladonna L.,Atropa belladonna,L.,4.29,2.15,4197.94,2098.97,y,Kew,1
391947-1,Avenella flexuosa (L.) Drejer,Avenella flexuosa,(L.) Drejer,8.8,4.4,8606.4,4303.2,y,Kew,1
444976-1,Ballota nigra L.,Ballota nigra,L.,2.91,1.45,2845.98,1418.1,y,Kew,1
184409-1,Bellis perennis L.,Bellis perennis,L.,3.56,1.78,3480.52,1740.26,y,Kew,1
184409-1,Bellis perennis L.,Bellis perennis,L.,3.65,1.82,3566.65,1783.32,y,Kew,1
328527-2,Berberis vulgaris L.,Berberis vulgaris,L.,3.28,1.64,3207.84,1603.92,y,Kew,1
301322-2,Betula nana L.,Betula nana,L.,1.09,0.54,1063.02,531.51,y,Kew,1
301322-2,Betula nana L.,Betula nana,L.,1.05,0.52,1022.61,511.31,y,Kew,1
295174-1,Betula pendula Roth,Betula pendula,Roth,2.14,1.07,2089.74,1044.87,y,Kew,1
295185-1,Betula pubescens Ehrh.,Betula pubescens,Ehrh.,2.14,1.07,2092.92,1046.46,y,Kew,1
60430544-2,Bistorta vivipara (L.) Delarbre,Bistorta vivipara,(L.) Delarbre,8.76,4.38,8567.28,4283.64,y,Kew,1
30079143-2,Blechnum spicant (L.) Roth,Blechnum spicant,(L.) Roth,15.11,7.56,14780.52,7390.26,y,Kew,1
30079143-2,Blechnum spicant (L.) Roth,Blechnum spicant,(L.) Roth,14.25,7.13,13936.5,6973.14,y,Kew,1
1144343-2,Blysmus compressus (L.) Panz. ex Link,Blysmus compressus,(L.) Panz. ex Link,4.03,2.01,3936.57,1968.29,y,Kew,1
113618-1,Borago officinalis L.,Borago officinalis,L.,3.27,1.64,3200.62,1600.31,y,Kew,1
393196-1,Brachypodium sylvaticum (Huds.) P.Beauv.,Brachypodium sylvaticum,(Huds.) P.Beauv.,0.89,0.45,870.42,440.1,y,Kew,1
279422-1,Brassica nigra (L.) W.D.J.Koch,Brassica nigra,(L.) W.D.J.Koch,1.33,0.66,1300.74,645.48,y,Kew,1
279435-1,Brassica oleracea L.,Brassica oleracea,L.,1.44,0.72,1408.84,704.42,y,Kew,1
393294-1,Briza media L.,Briza media,L.,6.71,3.36,6565.61,3282.81,y,Kew,1
393294-1,Briza media L.,Briza media,L.,6.79,3.39,6640.47,3320.24,y,Kew,1
393294-1,Briza media L.,Briza media,L.,6.78,3.39,6630.84,3315.42,y,Kew,1
393422-1,Bromopsis erecta (Huds.) Fourr.,Bromopsis erecta,(Huds.) Fourr.,21.76,10.88,21281.28,10640.64,y,Kew,1
393463-1,Bromopsis ramosa (Huds.) Holub,Bromopsis ramosa,(Huds.) Holub,26.48,13.24,25897.44,12948.72,y,Kew,1
393790-1,Bromus interruptus (Hack.) Druce,Bromus interruptus,(Hack.) Druce,21.13,10.57,20665.14,10337.46,y,Kew,1
291584-1,Bryonia dioica Jacq.,Bryonia dioica,Jacq.,3.26,1.63,3187.05,1593.52,y,Kew,1
291584-1,Bryonia dioica Jacq.,Bryonia dioica,Jacq.,3.06,1.53,2992.68,1496.34,y,Kew,1
545734-1,Buddleja davidii Franch.,Buddleja davidii,Franch.,3.16,1.58,3090.48,1545.24,y,Kew,1
58290-1,Butomus umbellatus L.,Butomus umbellatus,L.,8.69,4.35,8503.22,4251.61,y,Kew,1
340317-1,Buxus sempervirens L.,Buxus sempervirens,L.,1.82,0.91,1779.96,889.98,y,Kew,1
30179231-2,Cakile maritima Scop.,Cakile maritima,Scop.,1.73,0.87,1695.63,847.81,y,Kew,1
187894-1,Calendula officinalis L.,Calendula officinalis,L.,3.11,1.55,3041.58,1515.9,y,Kew,1
330920-2,Callitriche hermaphroditica L.,Callitriche hermaphroditica,L.,1.88,0.94,1841.48,920.74,y,Kew,1
327305-1,Calluna vulgaris (L.) Hull,Calluna vulgaris,(L.) Hull,1.26,0.63,1234.98,617.49,y,Kew,1
30033025-2,Calystegia sepium (L.) R.Br.,Calystegia sepium,(L.) R.Br.,1.48,0.74,1446.15,723.07,y,Kew,1
30036649-2,Campanula rotundifolia L.,Campanula rotundifolia,L.,2.06,1.03,2014.68,1007.34,y,Kew,1
30036649-2,Campanula rotundifolia L.,Campanula rotundifolia,L.,4.37,2.18,4273.86,2132.04,y,Kew,1
30092589-2,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,(L.) Medik.,0.83,0.41,811.74,400.98,y,Kew,1
30092589-2,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,(L.) Medik.,0.49,0.25,479.22,244.5,y,Kew,1
45189-2,Cardamine flexuosa With.,Cardamine flexuosa,With.,0.51,0.25,498.78,244.5,y,Kew,1
45334-2,Cardamine pratensis L.,Cardamine pratensis,L.,3.66,1.83,3576.12,1788.06,y,Kew,1
45334-2,Cardamine pratensis L.,Cardamine pratensis,L.,1.95,0.98,1907.1,958.44,y,Kew,1
189106-1,Carduus tenuiflorus Curtis,Carduus tenuiflorus,Curtis,7.1,3.55,6943.8,3471.9,y,Kew,1
298610-1,Carex aquatilis Wahlenb.,Carex aquatilis,Wahlenb.,0.97,0.48,945.39,472.7,y,Kew,1
30009416-2,Carex atrata L.,Carex atrata,L.,0.96,0.48,942.7,471.35,y,Kew,1
45854-2,Carex bigelowii Torr. ex Schwein.,Carex bigelowii,Torr. ex Schwein.,0.99,0.5,968.22,489,y,Kew,1
30074480-2,Carex capillaris L.,Carex capillaris,L.,1.18,0.59,1158.43,579.21,y,Kew,1
30074480-2,Carex capillaris L.,Carex capillaris,L.,1.24,0.62,1217.17,608.59,y,Kew,1
324492-2,Carex caryophyllea Latourr.,Carex caryophyllea,Latourr.,1.25,0.63,1222.5,616.14,y,Kew,1
324492-2,Carex caryophyllea Latourr.,Carex caryophyllea,Latourr.,1.24,0.62,1212.72,606.36,y,Kew,1
299427-1,Carex depauperata Curtis ex With.,Carex depauperata,Curtis ex With.,1.77,0.88,1731.06,860.64,y,Kew,1
299609-1,Carex elongata L.,Carex elongata,L.,0.89,0.45,873.97,436.99,y,Kew,1
299756-1,Carex flacca Schreb.,Carex flacca,Schreb.,2.58,1.29,2523.24,1261.62,y,Kew,1
300208-1,Carex hostiana DC.,Carex hostiana,DC.,0.88,0.44,860.64,430.32,y,Kew,1
300678-1,Carex limosa L.,Carex limosa,L.,1.06,0.53,1040.18,520.09,y,Kew,1
30066383-2,Carex nigra (L.) Reichard,Carex nigra,(L.) Reichard,2.54,1.27,2485.51,1242.75,y,Kew,1
30066383-2,Carex nigra (L.) Reichard,Carex nigra,(L.) Reichard,0.99,0.49,968.22,479.22,y,Kew,1
301423-1,Carex panicea L.,Carex panicea,L.,1.63,0.82,1594.14,801.96,y,Kew,1
301806-1,Carex pulicaris L.,Carex pulicaris,L.,0.78,0.39,762.84,381.42,y,Kew,1
302002-1,Carex rostrata Stokes,Carex rostrata,Stokes,0.9,0.45,880.2,440.1,y,Kew,1
295248-1,Carpinus betulus L.,Carpinus betulus,L.,3.9,1.95,3814.2,1907.1,y,Kew,1
395160-1,Catapodium marinum (L.) C.E.Hubb.,Catapodium marinum,(L.) C.E.Hubb.,12.78,6.39,12498.84,6249.42,y,Kew,1
191100-1,Centaurea nigra L.,Centaurea nigra,L.,4.38,2.19,4284.53,2142.26,y,Kew,1
622369-1,Cephalanthera damasonium (Mill.) Druce,Cephalanthera damasonium,(Mill.) Druce,38.66,19.33,37809.48,18904.74,y,Kew,1
152255-1,Cerastium fontanum Baumg.,Cerastium fontanum,Baumg.,5.73,2.87,5603.94,2806.86,y,Kew,1
152274-1,Cerastium glomeratum Thuill.,Cerastium glomeratum,Thuill.,1.87,0.94,1828.86,919.32,y,Kew,1
30006047-2,Ceratophyllum demersum L.,Ceratophyllum demersum,L.,2.1,1.05,2053.8,1026.9,y,Kew,1
163088-1,Ceratophyllum submersum L.,Ceratophyllum submersum,L.,1.73,0.86,1691.09,845.54,y,Kew,1
801401-1,Chaenorhinum minus (L.) Lange,Chaenorhinum minus,(L.) Lange,0.91,0.46,890.76,445.38,y,Kew,1
801401-1,Chaenorhinum minus (L.) Lange,Chaenorhinum minus,(L.) Lange,1,0.5,974.33,487.16,y,Kew,1
192489-1,Chamaemelum nobile (L.) All.,Chamaemelum nobile,(L.) All.,9.86,4.93,9640.06,4820.03,y,Kew,1
611374-1,Chamaenerion angustifolium (L.) Scop.,Chamaenerion angustifolium,(L.) Scop.,1.71,0.85,1671.65,835.83,y,Kew,1
303589-2,Chelidonium majus L.,Chelidonium majus,L.,2.53,1.26,2474.34,1232.28,y,Kew,1
55993-2,Chenopodium album L.,Chenopodium album,L.,4.18,2.09,4088.04,2044.02,y,Kew,1
790635-1,Chrysosplenium oppositifolium L.,Chrysosplenium oppositifolium,L.,1.19,0.6,1163.82,586.8,y,Kew,1
194423-1,Cicerbita alpina (L.) Wallr.,Cicerbita alpina,(L.) Wallr.,12,6,11734.2,5867.1,y,Kew,1
194533-1,Cichorium intybus L.,Cichorium intybus,L.,2.68,1.34,2621.04,1310.52,y,Kew,1
611469-1,Circaea lutetiana L.,Circaea lutetiana,L.,1.23,0.61,1202.08,601.04,y,Kew,1
195790-1,Cirsium palustre (L.) Scop.,Cirsium palustre,(L.) Scop.,2.81,1.41,2748.18,1378.98,y,Kew,1
311959-2,Claytonia sibirica L.,Claytonia sibirica,L.,7.55,3.77,7383.9,3687.06,y,Kew,1
281469-1,Cochlearia officinalis L.,Cochlearia officinalis,L.,1.69,0.84,1652.51,826.25,y,Kew,1
946916-1,Coincya wrightii (O.E.Schulz) Stace,Coincya wrightii,(O.E.Schulz) Stace,2.13,1.07,2083.14,1046.46,y,Kew,1
533232-1,Colchicum autumnale L.,Colchicum autumnale,L.,12.22,6.11,11951.16,5975.58,y,Kew,1
63773-2,Comarum palustre L.,Comarum palustre,L.,1.4,0.7,1369.2,684.6,y,Kew,1
265849-1,Convolvulus arvensis L.,Convolvulus arvensis,L.,1.31,0.66,1283.16,641.58,y,Kew,1
271661-1,Cornus sanguinea L.,Cornus sanguinea,L.,2.61,1.3,2548.78,1274.39,y,Kew,1
271681-1,Cornus suecica L.,Cornus suecica,L.,2.23,1.11,2180.94,1085.58,y,Kew,1
295446-1,Corylus avellana L.,Corylus avellana,L.,0.86,0.43,841.08,420.54,y,Kew,1
723820-1,Crataegus monogyna Jacq.,Crataegus monogyna,Jacq.,1.77,0.89,1731.06,870.42,y,Kew,1
723820-1,Crataegus monogyna Jacq.,Crataegus monogyna,Jacq.,1.99,1,1948.68,974.34,y,Kew,1
723820-1,Crataegus monogyna Jacq.,Crataegus monogyna,Jacq.,1.74,0.87,1705.01,852.51,y,Kew,1
200063-1,Crepis mollis (Jacq.) Asch.,Crepis mollis,(Jacq.) Asch.,16.29,8.15,15931.62,7965.81,y,Kew,1
840827-1,Crithmum maritimum L.,Crithmum maritimum,L.,5.11,2.55,4993.3,2496.65,y,Kew,1
747959-1,Cruciata laevipes Opiz,Cruciata laevipes,Opiz,0.76,0.38,743.28,371.64,y,Kew,1
267425-1,Cuscuta europaea L.,Cuscuta europaea,L.,5.21,2.6,5091.98,2545.99,y,Kew,1
115128-1,Cynoglossum germanicum Jacq.,Cynoglossum germanicum,Jacq.,2.29,1.15,2242.97,1121.48,y,Kew,1
397309-1,Dactylis glomerata L.,Dactylis glomerata,L.,8.4,4.2,8215.2,4107.6,y,Kew,1
397309-1,Dactylis glomerata L.,Dactylis glomerata,L.,8.58,4.29,8391.24,4195.62,y,Kew,1
626606-1,Dactylorhiza fuchsii (Druce) Soó,Dactylorhiza fuchsii,(Druce) Soó,12.34,6.17,12068.52,6034.26,y,Kew,1
626620-1,Dactylorhiza incarnata (L.) Soó,Dactylorhiza incarnata,(L.) Soó,13.3,6.65,13007.4,6503.7,y,Kew,1
397531-1,Danthonia decumbens (L.) DC.,Danthonia decumbens,(L.) DC.,5.21,2.6,5095.38,2542.8,y,Kew,1
397531-1,Danthonia decumbens (L.) DC.,Danthonia decumbens,(L.) DC.,4.59,2.3,4491.94,2245.97,y,Kew,1
831270-1,Daphne laureola L.,Daphne laureola,L.,6.69,3.35,6542.82,3276.3,y,Kew,1
831270-1,Daphne laureola L.,Daphne laureola,L.,6.61,3.31,6464.58,3237.18,y,Kew,1
841063-1,Daucus carota L.,Daucus carota,L.,1.13,0.56,1104.22,552.11,y,Kew,1
310755-2,Dianthus armeria L.,Dianthus armeria,L.,1.12,0.56,1092.42,546.21,y,Kew,1
302054-2,Dianthus deltoides L.,Dianthus deltoides,L.,0.97,0.48,948.49,474.25,y,Kew,1
316120-1,Diapensia lapponica L.,Diapensia lapponica,L.,4.45,2.23,4352.1,2180.94,y,Kew,1
802077-1,Digitalis purpurea L.,Digitalis purpurea,L.,2.17,1.09,2122.26,1066.02,y,Kew,1
81292-2,Diphasiastrum alpinum (L.) Holub,Diphasiastrum alpinum,(L.) Holub,8.15,4.08,7970.7,3990.24,y,Kew,1
321780-1,Drosera anglica Huds.,Drosera anglica,Huds.,5.75,2.88,5623.5,2816.64,y,Kew,1
319182-2,Drosera rotundifolia L.,Drosera rotundifolia,L.,2.96,1.48,2894.88,1447.44,y,Kew,1
17092290-1,Dryopteris aemula (Aiton) Kuntze,Dryopteris aemula,(Aiton) Kuntze,16.42,8.21,16058.76,8029.38,y,Kew,1
115950-1,Echium vulgare L.,Echium vulgare,L.,1.84,0.92,1800.1,900.05,y,Kew,1
115950-1,Echium vulgare L.,Echium vulgare,L.,1.82,0.91,1779.96,889.98,y,Kew,1
307064-1,Eleocharis quinqueflora (Hartmann) O.Schwarz,Eleocharis quinqueflora,(Hartmann) O.Schwarz,1.27,0.64,1242.06,625.92,y,Kew,1
912429-1,Elymus athericus (Link) Kerguélen,Elymus athericus,(Link) Kerguélen,27.23,13.62,26630.94,13315.47,y,Kew,1
611919-1,Epilobium hirsutum L.,Epilobium hirsutum,L.,0.9,0.45,885.04,442.52,y,Kew,1
611919-1,Epilobium hirsutum L.,Epilobium hirsutum,L.,0.95,0.47,929.1,459.66,y,Kew,1
300073-2,Equisetum arvense L.,Equisetum arvense,L.,28.68,14.34,28049.04,14024.52,y,Kew,1
300073-2,Equisetum arvense L.,Equisetum arvense,L.,28.89,14.44,28254.42,14122.32,y,Kew,1
92939-2,Equisetum hyemale L.,Equisetum hyemale,L.,60.84,30.42,59501.52,29750.76,y,Kew,1
30039890-2,Equisetum palustre L.,Equisetum palustre,L.,27.97,13.99,27354.66,13682.22,y,Kew,1
20007435-1,Equisetum telmateia Ehrh.,Equisetum telmateia,Ehrh.,28.79,14.39,28155.94,14077.97,y,Kew,1
328419-1,Erica ciliaris L.,Erica ciliaris,L.,1.05,0.53,1026.9,518.34,y,Kew,1
93610-2,Erigeron borealis (Vierh.) Simmons,Erigeron borealis,(Vierh.) Simmons,3.31,1.66,3237.18,1618.59,y,Kew,1
60438187-2,Erodium maritimum (L.) L'Hér.,Erodium maritimum,(L.) L'Hér.,1.89,0.95,1851.07,925.53,y,Kew,1
372354-1,Erodium moschatum (L.) L'Hér.,Erodium moschatum,(L.) L'Hér.,1.92,0.96,1877.76,938.88,y,Kew,1
494223-1,Ervilia sylvatica (L.) Schur,Ervilia sylvatica,(L.) Schur,14.2,7.1,13889.8,6944.9,y,Kew,1
494256-1,Ervum gracile DC.,Ervum gracile,DC.,5.67,2.84,5546.07,2773.04,y,Kew,1
841701-1,Eryngium campestre L.,Eryngium campestre,L.,2.01,1.01,1965.78,987.78,y,Kew,1
160876-1,Euonymus europaeus L.,Euonymus europaeus,L.,1.19,0.59,1163.82,577.02,y,Kew,1
160876-1,Euonymus europaeus L.,Euonymus europaeus,L.,1.89,0.95,1852.71,926.35,y,Kew,1
205581-1,Eupatorium cannabinum L.,Eupatorium cannabinum,L.,5.49,2.74,5367.52,2683.76,y,Kew,1
345568-1,Euphorbia amygdaloides L.,Euphorbia amygdaloides,L.,7.07,3.54,6914.46,3462.12,y,Kew,1
345568-1,Euphorbia amygdaloides L.,Euphorbia amygdaloides,L.,7.34,3.67,7176.49,3588.25,y,Kew,1
347072-1,Euphorbia lathyris L.,Euphorbia lathyris,L.,2.52,1.26,2462.94,1231.47,y,Kew,1
347724-1,Euphorbia peplus L.,Euphorbia peplus,L.,0.8,0.4,779.03,389.51,y,Kew,1
60463343-2,Euphrasia nemorosa (Pers.) Wallr.,Euphrasia nemorosa,(Pers.) Wallr.,2.42,1.21,2363.14,1181.57,y,Kew,1
305836-2,Fagus sylvatica L.,Fagus sylvatica,L.,1.31,0.65,1281.18,635.7,y,Kew,1
103354-2,Fallopia convolvulus (L.) Á. Löve,Fallopia convolvulus,(L.) Á. Löve,1.39,0.7,1363.63,681.82,y,Kew,1
402849-1,Festuca heterophylla Lam.,Festuca heterophylla,Lam.,11.17,5.59,10924.26,5467.02,y,Kew,1
403212-1,Festuca ovina L.,Festuca ovina,L.,9.39,4.69,9183.42,4586.82,y,Kew,1
711233-1,Ficaria verna Huds.,Ficaria verna,Huds.,36.27,18.13,35472.06,17731.14,y,Kew,1
207952-1,Filago pyramidata L.,Filago pyramidata,L.,1.54,0.77,1506.12,753.06,y,Kew,1
724943-1,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria,(L.) Maxim.,0.8,0.4,783.07,391.53,y,Kew,1
717344-1,Frangula alnus Mill.,Frangula alnus,Mill.,0.72,0.36,699.7,349.85,y,Kew,1
609009-1,Fraxinus excelsior L.,Fraxinus excelsior,L.,1.86,0.93,1817.43,908.72,y,Kew,1
609009-1,Fraxinus excelsior L.,Fraxinus excelsior,L.,1.89,0.94,1848.42,919.32,y,Kew,1
673038-1,Fumaria muralis Sond. ex W.D.J.Koch,Fumaria muralis,Sond. ex W.D.J.Koch,1.17,0.59,1144.26,577.02,y,Kew,1
30017594-2,Fumaria officinalis L.,Fumaria officinalis,L.,1.29,0.64,1257.63,628.82,y,Kew,1
30007294-2,Galium aparine L.,Galium aparine,L.,2.16,1.08,2112.48,1056.24,y,Kew,1
750339-1,Galium odoratum (L.) Scop.,Galium odoratum,(L.) Scop.,1.69,0.84,1652.82,821.52,y,Kew,1
368687-1,Gentiana pneumonanthe L.,Gentiana pneumonanthe,L.,15.81,7.91,15464.84,7732.42,y,Kew,1
369094-1,Gentiana verna L.,Gentiana verna,L.,5.53,2.77,5410.49,2705.24,y,Kew,1
108639-2,Gentianella amarella (L.) Börner,Gentianella amarella,(L.) Börner,10.41,5.21,10180.98,5095.38,y,Kew,1
372911-1,Geranium columbinum L.,Geranium columbinum,L.,1.35,0.68,1320.3,665.04,y,Kew,1
30210528-2,Geranium dissectum L.,Geranium dissectum,L.,1.39,0.7,1359.42,684.6,y,Kew,1
373275-1,Geranium lucidum L.,Geranium lucidum,L.,1.69,0.85,1652.82,831.3,y,Kew,1
373335-1,Geranium molle L.,Geranium molle,L.,1.02,0.51,1001.68,500.84,y,Kew,1
109269-2,Geranium robertianum L.,Geranium robertianum,L.,2.64,1.32,2581.92,1290.96,y,Kew,1
109269-2,Geranium robertianum L.,Geranium robertianum,L.,2.62,1.31,2562.36,1281.18,y,Kew,1
373602-1,Geranium rotundifolium L.,Geranium rotundifolium,L.,1.3,0.65,1271.4,635.7,y,Kew,1
322494-2,Geranium sanguineum L.,Geranium sanguineum,L.,9.02,4.51,8823.35,4411.68,y,Kew,1
322494-2,Geranium sanguineum L.,Geranium sanguineum,L.,9.35,4.67,9140.69,4570.34,y,Kew,1
322492-2,Geranium sylvaticum L.,Geranium sylvaticum,L.,4.65,2.32,4547.7,2268.96,y,Kew,1
725355-1,Geum rivale L.,Geum rivale,L.,2.58,1.29,2523.24,1261.62,y,Kew,1
725399-1,Geum urbanum L.,Geum urbanum,L.,3.29,1.64,3213.11,1606.55,y,Kew,1
447338-1,Glechoma hederacea L.,Glechoma hederacea,L.,2.09,1.04,2044.02,1017.12,y,Kew,1
404141-1,Glyceria maxima (Hartm.) Holmb.,Glyceria maxima,(Hartm.) Holmb.,13.28,6.64,12987.84,6493.92,y,Kew,1
404141-1,Glyceria maxima (Hartm.) Holmb.,Glyceria maxima,(Hartm.) Holmb.,8.63,4.32,8440.14,4220.07,y,Kew,1
60437219-2,Glyceria notata Chevall.,Glyceria notata,Chevall.,2.68,1.34,2621.04,1310.52,y,Kew,1
90723-1,Hedera helix L.,Hedera helix,L.,3.22,1.61,3149.16,1574.58,y,Kew,1
90723-1,Hedera helix L.,Hedera helix,L.,3.17,1.59,3100.26,1555.02,y,Kew,1
168741-1,Helianthemum apenninum (L.) Mill.,Helianthemum apenninum,(L.) Mill.,6.34,3.17,6200.52,3100.26,y,Kew,1
169032-1,Helianthemum nummularium (L.) Mill.,Helianthemum nummularium,(L.) Mill.,6.49,3.24,6346.24,3173.12,y,Kew,1
169032-1,Helianthemum nummularium (L.) Mill.,Helianthemum nummularium,(L.) Mill.,6.41,3.21,6268.98,3139.38,y,Kew,1
77113502-1,Helictochloa pratensis (L.) Romero Zarco,Helictochloa pratensis,(L.) Romero Zarco,38.98,19.49,38122.44,19061.22,y,Kew,1
843084-1,Heracleum mantegazzianum Sommier & Levier,Heracleum mantegazzianum,Sommier & Levier,3.9,1.95,3814.2,1907.1,y,Kew,1
214778-1,Hieracium anglicum Fr.,Hieracium anglicum,Fr.,11.46,5.73,11207.44,5603.72,y,Kew,1
217420-1,Hieracium exotericum Jord. ex Boreau,Hieracium exotericum,Jord. ex Boreau,10.74,5.37,10503.89,5251.95,y,Kew,1
217420-1,Hieracium exotericum Jord. ex Boreau,Hieracium exotericum,Jord. ex Boreau,10.69,5.34,10450.44,5225.22,y,Kew,1
218425-1,Hieracium holosericeum Backh.f.,Hieracium holosericeum,Backh.f.,11.62,5.81,11366.46,5683.23,y,Kew,1
221795-1,Hieracium proximum F.Hanb.,Hieracium proximum,F.Hanb.,11.58,5.79,11322.97,5661.48,y,Kew,1
60474653-2,Hieracium trichocaulon (Dahlst.) Johanss.,Hieracium trichocaulon,(Dahlst.) Johanss.,11.49,5.74,11234.02,5617.01,y,Kew,1
404911-1,Hierochloe odorata (L.) P.Beauv.,Hierochloe odorata,(L.) P.Beauv.,8.58,4.29,8391.24,4195.62,y,Kew,1
