kew_id,taxon_name,taxon_name_binom,authors,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,from_BI_material,data_source,ID
1176324-2,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,(M.Bieb.) Cavara & Grande,2.3,1.15,2249.4,1124.7,n,"Zonneveld, 2019",3
527777-1,Allium carinatum L.,Allium carinatum,L.,47.1,23.55,46063.8,23031.9,n,"Zonneveld, 2019",3
528525-1,Allium oleraceum L.,Allium oleraceum,L.,55.4,27.7,54181.2,27090.6,n,"Zonneveld, 2019",3
528578-1,Allium paradoxum (M.Bieb.) G.Don,Allium paradoxum,(M.Bieb.) G.Don,55.4,27.7,54181.2,27090.6,n,"Zonneveld, 2019",3
528600-1,Allium pendulinum Ten.,Allium pendulinum,Ten.,42,21,41076,20538,n,"Zonneveld, 2019",3
528746-1,Allium roseum L.,Allium roseum,L.,78.9,39.45,77164.2,38582.1,n,"Zonneveld, 2019",3
528834-1,Allium scorodoprasum L.,Allium scorodoprasum,L.,47.2,23.6,46161.6,23080.8,n,"Zonneveld, 2019",3
529088-1,Allium ursinum L.,Allium ursinum,L.,62,31,60636,30318,n,"Zonneveld, 2019",3
294902-1,Alnus cordata (Loisel.) Duby,Alnus cordata,(Loisel.) Duby,1.13,0.57,1105.14,552.57,n,"Zonneveld, 2019",3
30106706-2,Alnus incana (L.) Moench,Alnus incana,(L.) Moench,1.24,0.62,1212.72,606.36,n,"Zonneveld, 2019",3
387005-1,Alopecurus aequalis Sobol.,Alopecurus aequalis,Sobol.,7.06,3.53,6904.68,3452.34,n,"Zonneveld, 2019",3
387047-1,Alopecurus bulbosus Gouan,Alopecurus bulbosus,Gouan,13.9,6.95,13594.2,6797.1,n,"Zonneveld, 2019",3
387091-1,Alopecurus geniculatus L.,Alopecurus geniculatus,L.,14.3,7.15,13985.4,6992.7,n,"Zonneveld, 2019",3
387143-1,Alopecurus myosuroides Huds.,Alopecurus myosuroides,Huds.,7.52,3.76,7354.56,3677.28,n,"Zonneveld, 2019",3
387176-1,Alopecurus pratensis L.,Alopecurus pratensis,L.,12.6,6.3,12322.8,6161.4,n,"Zonneveld, 2019",3
558872-1,Althaea officinalis L.,Althaea officinalis,L.,3.9,1.95,3814.2,1907.1,n,"Zonneveld, 2019",3
277314-1,Alyssum alyssoides (L.) L.,Alyssum alyssoides,(L.) L.,1.44,0.72,1408.32,704.16,n,"Zonneveld, 2019",3
327388-2,Amaranthus albus L.,Amaranthus albus,L.,1.09,0.55,1066.02,533.01,n,"Zonneveld, 2019",3
10615-2,Amaranthus blitoides S.Watson,Amaranthus blitoides,S.Watson,1.16,0.58,1134.48,567.24,n,"Zonneveld, 2019",3
10619-2,Amaranthus blitum L.,Amaranthus blitum,L.,1.59,0.8,1555.02,777.51,n,"Zonneveld, 2019",3
316347-2,Amaranthus caudatus L.,Amaranthus caudatus,L.,1.05,0.53,1026.9,513.45,n,"Zonneveld, 2019",3
10698-2,Amaranthus retroflexus L.,Amaranthus retroflexus,L.,1.18,0.59,1154.04,577.02,n,"Zonneveld, 2019",3
30153070-2,Ambrosia psilostachya DC.,Ambrosia psilostachya,DC.,5.95,2.98,5819.1,2909.55,n,"Zonneveld, 2019",3
315739-2,Ambrosia trifida L.,Ambrosia trifida,L.,4.05,2.03,3960.9,1980.45,n,"Zonneveld, 2019",3
721221-1,Amelanchier lamarckii F.G.Schroed.,Amelanchier lamarckii,F.G.Schroed.,2.52,1.26,2464.56,1232.28,n,"Zonneveld, 2019",3
1141132-2,Ammophila arenaria (L.) Link,Ammophila arenaria,(L.) Link,8.98,4.49,8782.44,4391.22,n,"Zonneveld, 2019",3
615773-1,Anacamptis pyramidalis (L.) Rich.,Anacamptis pyramidalis,(L.) Rich.,26.8,13.4,26210.4,13105.2,n,"Zonneveld, 2019",3
30021967-2,Andromeda polifolia L.,Andromeda polifolia,L.,2.18,1.09,2132.04,1066.02,n,"Zonneveld, 2019",3
708236-1,Anemone apennina L.,Anemone apennina,L.,28.7,14.35,28068.6,14034.3,n,"Zonneveld, 2019",3
13472-2,Anemone nemorosa L.,Anemone nemorosa,L.,38.9,19.45,38044.2,19022.1,n,"Zonneveld, 2019",3
13507-2,Anemone ranunculoides L.,Anemone ranunculoides,L.,35.4,17.7,34621.2,17310.6,n,"Zonneveld, 2019",3
837530-1,Anethum graveolens L.,Anethum graveolens,L.,2.81,1.41,2748.18,1374.09,n,"Zonneveld, 2019",3
837560-1,Angelica archangelica L.,Angelica archangelica,L.,6.41,3.21,6268.98,3134.49,n,"Zonneveld, 2019",3
837777-1,Angelica sylvestris L.,Angelica sylvestris,L.,5.13,2.57,5017.14,2508.57,n,"Zonneveld, 2019",3
388810-1,Anisantha diandra (Roth) Tutin ex Tzvelev,Anisantha diandra,(Roth) Tutin ex Tzvelev,24.4,12.2,23863.2,11931.6,n,"Zonneveld, 2019",3
388817-1,Anisantha madritensis (L.) Nevski,Anisantha madritensis,(L.) Nevski,9.91,4.96,9691.98,4845.99,n,"Zonneveld, 2019",3
388823-1,Anisantha sterilis (L.) Nevski,Anisantha sterilis,(L.) Nevski,6.21,3.11,6073.38,3036.69,n,"Zonneveld, 2019",3
388824-1,Anisantha tectorum (L.) Nevski,Anisantha tectorum,(L.) Nevski,5.76,2.88,5633.28,2816.64,n,"Zonneveld, 2019",3
1218005-2,Anoda cristata (L.) Schltdl.,Anoda cristata,(L.) Schltdl.,5.65,2.83,5525.7,2762.85,n,"Zonneveld, 2019",3
30111520-2,Antennaria dioica (L.) Gaertn.,Antennaria dioica,(L.) Gaertn.,7.33,3.67,7168.74,3584.37,n,"Zonneveld, 2019",3
