before,after
711,310
37,31
46,53
90,21
1049,648
247,87
31,40
545,388
1137,507
799,347
187,103
40,56
184,87
43,62
203,263
410,648
407,394
228,165
761,448
291,62
573,234
971,375
96,84
482,228
128,231
394,372
281,413
476,319
770,332
560,319
34,53
31,37
28,37
122,81
56,43
46,87
40,24
112,78
40,65
43,53
71,84
200,228
175,93
1789,516
209,369
87,40
